From_Date, region_id, region_name, Company_Id, Company_Name, profitcenter_id, Profitcenter_Name, usr_Id, Level, STATUS, Total Sales, Credit App#, Sales$-Fin, Avg Ticket Sale, BEDDING SALES, Protection SALES, DELIVERY SALES, Drop Ship Ticket, UPS, Postive Sales, Actual_PrevYear, LastYearSales, Traffic Count, Traffic Count PrevYear, Sales YOY, Gross Margin, Effective Margin, $ Discount, Apps to Traffic, SPG, Sales Count, Avg Item Count, Finance Avg Ticket, Non Fin Avg Ticket, UPS Closing Rate, Traffic YOY
05/29/2025,1,West,2,Tallahassee,7,Warner Robins,NULL,1,W,18231.74,2.00,13514.76,11724.88,9248.95,NULL,NULL,NULL,NULL,18923.72,5.00,NULL,22.00,20.00,NULL,52.92,47.78,4781.01,9.09,828.72,4.00,7.25,4504.92,2704.48,0.00,10.00
05/30/2025,1,West,2,Tallahassee,7,Warner Robins,NULL,1,W,8597.77,9.00,10163.75,1795.27,0.00,NULL,NULL,NULL,NULL,10163.75,5.50,NULL,21.00,18.00,NULL,51.13,49.33,2580.97,42.86,409.42,3.00,6.67,3387.92,0.00,0.00,16.67
05/31/2025,1,West,2,Tallahassee,7,Warner Robins,NULL,1,W,27755.22,6.00,24910.32,19126.41,3927.96,NULL,NULL,NULL,NULL,28860.00,5.00,NULL,34.00,28.00,NULL,59.05,54.71,6020.92,17.65,816.33,9.00,6.56,3544.44,1014.64,0.00,21.43
06/01/2025,1,West,2,Tallahassee,7,Warner Robins,NULL,1,W,15889.72,6.00,9809.83,8437.56,6638.99,NULL,NULL,NULL,NULL,13890.22,1.00,NULL,31.00,45.00,NULL,57.58,51.41,2377.91,19.35,512.57,10.00,3.20,13378.84,358.70,0.00,-31.11
06/02/2025,1,West,2,Tallahassee,7,Warner Robins,NULL,1,W,13117.56,6.00,17252.57,7925.36,1098.89,NULL,NULL,NULL,NULL,13000.27,2.00,NULL,29.00,17.00,NULL,47.24,41.13,4455.88,20.69,452.33,6.00,7.33,3883.20,616.48,0.00,70.59
06/03/2025,1,West,2,Tallahassee,7,Warner Robins,NULL,1,W,3244.68,1.00,5221.78,2654.71,1348.96,NULL,NULL,NULL,NULL,4154.11,3.00,NULL,25.00,25.00,NULL,90.25,82.58,767.99,4.00,129.79,3.00,5.33,1305.45,1119.39,0.00,0.00
06/04/2025,1,West,2,Tallahassee,7,Warner Robins,NULL,1,W,-2614.09,1.00,3914.38,-3306.54,-3999.00,NULL,NULL,NULL,NULL,3384.41,2.00,NULL,24.00,18.00,NULL,56.92,35.32,45.00,4.17,-108.92,2.00,2.00,0.00,0.00,0.00,33.33
06/05/2025,1,West,2,Tallahassee,7,Warner Robins,NULL,1,W,20362.92,6.00,20863.20,10332.56,5076.02,NULL,NULL,NULL,NULL,16772.14,0.00,NULL,17.00,20.00,NULL,57.74,51.54,1885.49,35.29,1197.82,6.00,5.33,5524.38,99.49,0.00,-15.00
06/06/2025,1,West,2,Tallahassee,7,Warner Robins,NULL,1,W,14296.66,6.00,4499.92,4858.90,915.98,NULL,NULL,NULL,NULL,14310.66,4.00,NULL,27.00,27.00,NULL,58.89,57.69,1145.82,22.22,529.51,8.00,4.00,1407.22,1786.35,0.00,0.00
06/07/2025,1,West,2,Tallahassee,7,Warner Robins,NULL,1,W,24051.87,10.00,15477.59,10080.79,3675.46,NULL,NULL,NULL,NULL,23751.89,0.00,NULL,41.00,29.00,NULL,55.69,54.11,5514.45,24.39,586.63,12.00,4.50,2004.82,1116.19,0.00,41.38
